distance,path_loss,env,path_loss.1,env
301.1199927,113.396692,0,140.7239736,1
302.1195955,113.4269174,0,140.774781,1
303.119201,113.457043,0,140.8254208,1
304.118809,113.4870695,0,140.8758939,1
305.1184196,113.5169976,0,140.9262015,1
306.1180328,113.5468278,0,140.9763447,1
307.1176485,113.5765609,0,141.0263246,1
308.1172666,113.6061974,0,141.0761422,1
309.1168873,113.635738,0,141.1257985,1
310.1165104,113.6651833,0,141.1752946,1
311.1161359,113.6945339,0,141.2246316,1
312.1157638,113.7237904,0,141.2738104,1
313.1153941,113.7529534,0,141.3228321,1
314.1150267,113.7820236,0,141.3716976,1
315.1146617,113.8110014,0,141.420408,1
316.1142989,113.8398876,0,141.4689642,1
317.1139385,113.8686826,0,141.5173673,1
318.1135803,113.897387,0,141.5656181,1
319.1132244,113.9260015,0,141.6137176,1
320.1128707,113.9545265,0,141.6616668,1
321.1125192,113.9829626,0,141.7094666,1
322.1121699,114.0113104,0,141.7571179,1
323.1118227,114.0395705,0,141.8046216,1
324.1114777,114.0677433,0,141.8519788,1
325.1111348,114.0958294,0,141.8991902,1
326.1107941,114.1238293,0,141.9462567,1
327.1104554,114.1517436,0,141.9931793,1
328.1101187,114.1795727,0,142.0399588,1
329.1097841,114.2073173,0,142.0865961,1
330.1094515,114.2349778,0,142.133092,1
331.109121,114.2625547,0,142.1794475,1
332.1087924,114.2900485,0,142.2256633,1
333.1084658,114.3174597,0,142.2717402,1
334.1081412,114.3447888,0,142.3176792,1
335.1078185,114.3720364,0,142.3634811,1
336.1074977,114.3992028,0,142.4091465,1
337.1071788,114.4262886,0,142.4546765,1
338.1068618,114.4532943,0,142.5000717,1
339.1065467,114.4802203,0,142.545333,1
340.1062334,114.5070671,0,142.5904612,1
341.105922,114.5338351,0,142.6354569,1
342.1056123,114.5605248,0,142.6803211,1
343.1053045,114.5871367,0,142.7250544,1
344.1049985,114.6136712,0,142.7696577,1
345.1046943,114.6401288,0,142.8141317,1
346.1043918,114.6665099,0,142.8584771,1
347.104091,114.692815,0,142.9026946,1
348.103792,114.7190445,0,142.9467851,1
349.1034947,114.7451987,0,142.9907492,1
350.1031991,114.7712783,0,143.0345877,1
351.1029051,114.7972835,0,143.0783012,1
352.1026129,114.8232148,0,143.1218905,1
353.1023223,114.8490727,0,143.1653563,1
354.1020333,114.8748575,0,143.2086993,1
355.101746,114.9005696,0,143.2519202,1
356.1014603,114.9262095,0,143.2950196,1
357.1011761,114.9517775,0,143.3379983,1
358.1008936,114.9772741,0,143.3808569,1
359.1006126,115.0026997,0,143.423596,1
360.1003332,115.0280546,0,143.4662164,1
361.1000554,115.0533393,0,143.5087188,1
362.0997791,115.0785541,0,143.5511036,1
363.0995043,115.1036994,0,143.5933717,1
364.099231,115.1287756,0,143.6355237,1
365.0989592,115.1537831,0,143.6775601,1
366.0986889,115.1787223,0,143.7194816,1
367.09842,115.2035934,0,143.7612889,1
368.0981527,115.228397,0,143.8029825,1
369.0978867,115.2531334,0,143.8445631,1
370.0976223,115.2778028,0,143.8860313,1
371.0973592,115.3024058,0,143.9273877,1
372.0970975,115.3269426,0,143.9686328,1
373.0968373,115.3514135,0,144.0097674,1
374.0965784,115.3758191,0,144.050792,1
375.096321,115.4001595,0,144.0917071,1
376.0960649,115.4244352,0,144.1325133,1
377.0958101,115.4486465,0,144.1732113,1
378.0955567,115.4727937,0,144.2138016,1
379.0953046,115.4968771,0,144.2542848,1
380.0950539,115.5208972,0,144.2946614,1
381.0948045,115.5448542,0,144.334932,1
382.0945564,115.5687485,0,144.3750971,1
383.0943095,115.5925803,0,144.4151573,1
384.094064,115.6163501,0,144.4551132,1
385.0938197,115.6400582,0,144.4949652,1
386.0935767,115.6637047,0,144.534714,1
387.093335,115.6872902,0,144.5743601,1
388.0930945,115.7108148,0,144.6139039,1
389.0928552,115.734279,0,144.653346,1
390.0926172,115.757683,0,144.692687,1
391.0923804,115.7810271,0,144.7319273,1
392.0921448,115.8043116,0,144.7710675,1
